position_id,party_id,statement_id,position_label,position_numeric,source_type,text_snippet,source_link
EUP0021,ALDE,21,Tend to agree,1,2024 EP election manifesto of the party,Major crises have forced the EU to target and clearly prioritise funds and healthy budgetary management towards strategic challenges. It is not a question of spending but how we spend it as the EU already has a €1.1 trillion investment capacity until 2027.,https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824922
EUP0022,ALDE,22,Tend to agree,1,2024 EP election manifesto of the party,"Reform the Common Agriculture Policy (CAP) with the aim of lifting bureaucratic burdens for farmers and supporting a sustainable food production with respect for biodiversity and animal welfare. Streamline the distribution of existing funds and incentivise the adoption of sustainable practices and tools such as crop rotation, biochar to reduce carbon leakage and precision farming. The main purpose of the future CAP should be to compensate farmers for these collective goods that the market does not take into account, and which we expect them to provide. Reduction of bureaucratic burden for small and middle size farmers is of importance especially in some Member States. ; Broader recognition that food production in Europe, which guarantees safe and healthy foodstuff for all Europeans, is increasingly important and a central issue in the EU’s agriculture and food policy, notable the legislative framework and the funding sources",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824919 https://assets.nationbuilder.com/aldeparty/pages/6629/attachments/original/1685280991/Towards_a_Europe_stronger_and_more_self-sufficient_in_security__energy__and_food.pdf?1685280991
EUP0023,ALDE,23,Completely agree,2,2024 EP election manifesto of the party,"Strengthen the EU’s role on the global stage by acting as one: shift to qualified majority voting in foreign affairs, defence and security policy, preventing individual countries from obstructing our joint ability to act, enhance the roles of the High Representative and the European External Action Service, and give the EU a seat in the UN Security Council.",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824919
EUP0024,ALDE,24,Neutral,0,2024 EP election manifesto of the party,"Reform the Common European Asylum System, aiming to stop the cynical and inhuman business model of smugglers, improve reception standards, share responsibility, and make asylum procedures human rights-based and more efficient. We must improve reception standards, share responsibility, and make asylum procedures human rights-based and more efficient.",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824920
EUP0025,ALDE,25,Completely agree,2,2024 EP election manifesto of the party,"While maintaining a balance and avoiding overlapping between EU defence cooperation and NATO, all European countries must invest in pan-European defence capability. It is vital to invest in advanced cooperation in the European Defence Union across land, sea, air, and space as well as research and development to improve the European capacity to act independently, boosting European production capacity and creating the conditions to enable synergies between our countries’ militaries ; We must strengthen Europe’s autonomous capabilities and maintain an open and collaborative approach with like- minded countries to strengthen our global influence and address main challenges. Establish foundational rules governing states’ use of digital technologies in warfare and boost EU joint capacity to act and respond to the evolving digital threats and disinformation, including through public private partnerships and rapid information exchange between countries to safeguard our collective digital infrastructure, ensuring a resilient cyber landscape, and keep investing and prioritising digital technologies so the EU will not fall behind.",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824921
EUP0026,ALDE,26,Tend to agree,1,2024 EP election manifesto of the party,"Establish EU-managed common facilities outside the EU borders for asylum seekers, responsible for streamlined application processing. ; Reform Frontex, the European Border and Coast Guard Agency, for effective control of EU external borders with respect for human rights ; Launch a European Action Plan for search and rescue operations in the Mediterranean, prioritising the safety and dignity of individuals in distress. Make sure that there are consequences for pushbacks, mistreatment of migrants, and other violations of the rights of migrants. Make agreements with third countries to halt irregular migration to the EU, while upholding and protecting human rights.",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824922
EUP0027,ALDE,27,Neutral,0,2024 EP election manifesto of the party,"Enable decarbonisation for all types of transport, whether cargo or passenger, through infrastructure development, including the completion of missing cross-border transport connections, electrification of public transport and charging infrastructure in less densely populated areas, active mobility across national, regional, and local levels as well as using sustainable and innovative technologies to decarbonise the freight and heavy goods transport",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824923
EUP0028,ALDE,28,Completely agree,2,2024 EP election manifesto of the party,"We stand in unity with Ukraine, pledging increased military assistance until Ukraine’s victory, and post-war reconstruction support, including identifying a legal mechanism to utilise frozen Russian assets and ensure accountability.",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824924
EUP0029,ALDE,29,Tend to agree,1,2024 EP election manifesto of the party,"Advocate for a single seat for the European Parliament, with right to initiate legislation and power to cast a no-confidence vote against any member of the European Commission.",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824925
EUP0030,ALDE,30,Completely agree,2,Other programmatic and official party documentation,"We want to see Europe leading by example in the world, driving innovation and the upward progression of standards. We recognise that the biggest challenges facing us today are best tackled together. We regard forging strong alliances of free countries and liberals to stand for freedom and cooperation as an effective means of promoting our values, increasing prosperity for our citizens, and ensuring our collective security. ""The 30th anniversary of the Maastricht treaty is a reminder of the successes of European integration and the need to move the EU forward""",https://assets.nationbuilder.com/aldeparty/pages/1473/attachments/original/1711023352/Charter_of_Values-VF.pdf?1711023352 https://www.aldeparty.eu/the_maastricht_treaty_s_anniversary_mobilises_us_to_move_europe_forward
EUP0031,ALDE,31,Tend to agree,1,2024 EP election manifesto of the party,"Strengthen the EU’s role on the global stage by acting as one: shift to qualified majority voting in foreign affairs, defence and security policy, preventing individual countries from obstructing our joint ability to act",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824919
EUP0032,ALDE,32,Completely agree,2,2024 EP election manifesto of the party,"We support Ukraine’s full membership of NATO and the EU to increase both Ukraine’s and Europe’s security, with all the security guarantees it entails EU accession benefits us from the political, economic, and security perspectives. The EU, its values and standards remain the great unifying factor for all the people of the Western Balkans, Moldova, Georgia, and Ukraine. It is crucial to support the development of our sister countries to work their way to candidate status and stabilise the region, push for integration and counter disruptive efforts from Russia, China, and other disruptive countries. Our ambition is to ensure that the countries of the Western Balkans, Moldova, Georgia, and Ukraine are ready to meet all accession criteria by 2029.",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824920
EUP0033,ALDE,33,Completely agree,2,2024 EP election manifesto of the party,"Make full use of the conditionality principle in Article 7 and expand the annual rule of law report scope to include all values in Article 2 to protect and promote the rule of law, equality, respect for human rights and rights of minorities, to combat corruption and ensure adherence to our values. No rule of law, no EU money",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824921
EUP0034,ALDE,34,No opinion,,,,
EUP0035,ALDE,35,Tend to agree,1,Other programmatic and official party documentation,Public health is our priority ; We acknowledge that this crisis required unprecedented state help to protect jobs and loss of entire industries.,https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824923
EUP0036,ALDE,36,Tend to agree,1,2024 EP election manifesto of the party,"All European countries must invest in pan-European defence capability. It is vital to invest in advanced cooperation in the European Defence Union across land, sea, air, and space as well as research and development to improve the European capacity to act independently, boosting European production capacity and creating the conditions to enable synergies between our countries’ militaries; Come up with a concrete defence investment plan worth of €100bn, which will be used to bolster Europe’s defence industry",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824924
EUP0037,EFA,1,No opinion,,,,
EUP0038,EFA,2,No opinion,,,,
EUP0039,EFA,3,No opinion,,,,
EUP0040,EFA,4,No opinion,,,,
EUP0041,EFA,5,No opinion,,,,
EUP0042,EFA,6,Tend to agree,1,Other programmatic and official party documentation,"""The EU has made impressive progress in securing a cap on the price of gas. But this cap is foreseen as a temporary measure. It should be made permanent, so that Europeans have peace of mind that they will always be able to afford their energy bills. And the EU should introduce more price caps on other basic goods – including basic foodstuffs.""",
EUP0043,EFA,7,Completely agree,2,2024 EP election manifesto of the party,LGBT rights are another cornerstone of human rights. The persecution and demonising of LG- BTQIA+ people in many parts of Europe goes beyond legal discrimination. We condemn hate speech on this ground and we consider that no discrimination or persecution should be allowed. (p. 7),Manifesto
EUP0044,EFA,8,No opinion,,,,
EUP0045,EFA,9,Tend to agree,1,Other programmatic and official party documentation,"""We must be open and welcoming towards migration from outside Europe, while preserving our existing cultural diversity and our shared values. There are hundreds of different languages and cultures in Europe, and we can easily take in more – so long as we maintain one set of shared values. """,
EUP0046,EFA,10,Completely disagree,-2,Other programmatic and official party documentation,"""Access to abortion should be incorporated into EU law as a right all over Europe""",
EUP0047,EFA,11,Tend to disagree,-1,2024 EP election manifesto of the party,"Working together will enable us to put forward a common European response. This response should be based on humanitarian principles and international law, and seek to develop safe and legal pathways. (p. 7)",Manifesto
EUP0048,EFA,12,Completely agree,2,2024 EP election manifesto of the party,"But there is still a long way until we reach full equality. Further legislation regarding women’s empower- ment and protection has to be developed. To achieve it, women need to be heard. In 2022, the global share of women in national parlia- ments reached 26.2% - up from 22.4% in 2015. At that pace, it will take another 40 years for women and men to be represented equally in national parliaments (p. 7)",Manifesto
EUP0049,EFA,13,Tend to agree,1,Other programmatic and official party documentation,"""EFA wants to see a fully connected Europe with good infrastructure and transport links. But transport is one of the biggest sources of carbon emissions. We have ahead of us an opportunity to address both these issues at once by developing a strong and reliable network of climate-friendly transport options. """,
EUP0050,EFA,14,Tend to agree,1,2024 EP election manifesto of the party,"We support the European Commission's target, laid out in the European Green Deal and Industrial Plan, to make Europe the world's first car- bon-neutral continent by 2050. [...] However, regions and municipalities must have the flexibility to adopt their own strategies to achieve these com- monly agreed targets: objectives identified in Brussels can be reached in different ways in different parts of Europe, taking account of the local needs and opportunities that each region knows best. (p. 9)",Manifesto
EUP0051,EFA,15,No opinion,,,,
EUP0052,EFA,16,Tend to disagree,-1,,,
EUP0053,EFA,17,Tend to disagree,-1,,,
EUP0054,EFA,18,Tend to agree,1,Other programmatic and official party documentation,"""The EU can play a role here by providing funds to build social projects, and by ensuring fairer taxation at EU level by establishing an EU-wide transaction tax, an EU carbon border tax or making sure that large multinational corporations are not able to dodge their tax responsibilities in Europe.""",
EUP0055,EFA,19,Tend to disagree,-1,2024 EP election manifesto of the party,"""These sectors should be safeguarded and helped to grow sustainably, with a particular focus on building European competitiveness in key future-oriented areas: pharma, biotech, emission-free vehicles, hydrogen storage, environment-friendly agriculture, sustainable tourism, and key tech components such as semiconductors and AI. """,
EUP0056,EFA,20,Completely disagree,-2,,,
EUP0057,EFA,21,Tend to agree,1,,,
EUP0058,EFA,22,Tend to agree,1,2024 EP election manifesto of the party,"[...] we need to preserve the integrity of the internal market and the global competitive- ness of the EU. [...] it is dis- tributed fairly among Europe's regions. We demand special adaptations for small and medium enterprises (SMEs) and for remote, rural or peripheral regions [...] Farmers need regulatory clarity, and the time and trust to adapt their businesses to sustainable models. These policies cannot simply be imposed top-down: they need the active input and support of farming commu- nities - those who know the land. (p. 8-9)",Manifesto
EUP0059,EFA,23,Tend to agree,1,2024 EP election manifesto of the party,"[...] we believe the EU can be a strong, independent and influential actor on the world stage. The world of tomorrow will be deter- mined by large power blocs like the USA and the enlarged BRICS economies (Brazil, Russia, India, China, South Africa and potentially more). Only a united and self-confident EU will be able to stand up for its own interests against these old and new great powers. (p. 10)",Manifesto
EUP0060,EFA,24,Tend to agree,1,Other programmatic and official party documentation,"""we must ensure that the whole of Europe participates in supporting those regions, such as those around the Mediterranean, where the largest numbers of people are arriving. Europe’s states and regions should support refugees equally, such as by committing to distribute refugees proportionately among the member states. This process of deciding who goes where should be decentralised: the needs of sub-state regions and stateless nations must also be taken into account.""",
EUP0061,EFA,25,Tend to agree,1,Other programmatic and official party documentation,"""EFA would like to see a genuinely democratic system of EU security and defence cooperation – with the oversight of the European Parliament and complementary to NATO""",
EUP0062,EFA,26,Neutral,0,,,
EUP0063,EFA,27,Tend to agree,1,2024 EP election manifesto of the party,"""EFA supports the Green Deal in principle, as we must act together to tackle climate change. But we are concerned that its centralised top-down approach is having a disproportionate social and economic impact on certain sectors and regions""",
EUP0064,EFA,28,Neutral,0,2024 EP election manifesto of the party,"We must continue to provide as much solidarity with Ukraine as we can, including by providing shelter and support for the millions of people who have been driven from their homes by the war. But the EU must also take a stronger role in the diplomatic response, given that this conflict will not be resolved exclusively on military grounds. (p. 11)",Manifesto
EUP0065,EFA,29,Completely agree,2,2024 EP election manifesto of the party,"A more powerful European Parliament, more accountable European Commission, and a stronger voice for all. (p. 5)",Manifesto
EUP0066,EFA,30,Completely agree,2,2024 EP election manifesto of the party,EFA agrees with the ultimate goal of completing the Single Market and integrating all parts of the EU. (p. 13),Manifesto
EUP0067,EFA,31,Completely agree,2,Other programmatic and official party documentation,"""EFA seeks to abolish the veto in the Council of the EU, to be replaced with Qualified Majority Voting in all cases""",
EUP0068,EFA,32,Tend to agree,1,2024 EP election manifesto of the party,We support Ukraine’s path towards EU accession. (p. 11),Manifesto
EUP0069,EFA,33,Completely agree,2,2024 EP election manifesto of the party,"""The EU also needs to respect and protect the rights of historical national minorities. Currently minority rights are left almost entirely to the member states, which frequently violate them or refuse to recognise minorities at all. """,
EUP0070,EFA,34,Completely agree,2,2024 EP election manifesto of the party,"""We want to see the remaining non-self-governing territories of the world take up their right to self-determination. We call for a greater EU role in supporting the people of Palestine, Kurdistan and Western Sahara among others.""",
EUP0071,EFA,35,No opinion,,,,
EUP0072,EFA,36,Tend to disagree,-1,,,
EUP0073,EGP,1,Completely agree,2,2024 EP election manifesto of the party,"The social welfare state was one of Europe’s biggest successes. Rebuilding that welfare state for the 21st century is the only way to protect and extend social rights for everyone in Europe (p. 16) [...] Our tax proposals will reduce the tax burden on workers and support access to energy, food, and housing for the poorest by increasing taxes on polluters and the ultra-rich. (p. 17) [...] The money to finance this much-needed investment is there. We are convinced that the EU can help channel it towards green and social investment. A mix of fiscal policy, public investment, and private initiative will drive this change. A fairer economic system requires greater redistribution, the better use of public funds, and all actors in society playing their part. (p. 20)",Manifesto
EUP0074,EGP,2,Completely agree,2,2024 EP election manifesto of the party,"""Everyone has the right to a decent income. A strong social safety net should protect people in employment transitions and those who cannot work. We call for an EU framework directive on minimum income to establish an adequate level of support (60% of the median income) in each EU country for people between jobs or who cannot work and guarantee its coverage and take-up. This should not undermine national collective bargaining models or social security systems. The short-term SURE unemployment insurance programme should be made permanent to protect the livelihoods of workers affected by transition. We continue to demand an integrated anti-poverty strategy for the EU to end homelessness by 2030 and at the very least halve child poverty by 2030 and eliminate child poverty by 2040. Universal basic income should be researched and studied. We therefore advocate for national basic income pilots.Everyone has the right to a decent income. A strong social safety net should protect people in employment transitions and those who cannot work. We call for an EU framework directive on minimum income to establish an adequate level of support (60% of the median income) in each EU country for people between jobs or who cannot work and guarantee its coverage and take-up. This should not undermine national collective bargaining models or social security systems. The short-term SURE unemployment insurance programme should be made permanent to protect the livelihoods of workers affected by transition. We continue to demand an integrated anti-poverty strategy for the EU to end homelessness by 2030 and at the very least halve child poverty by 2030 and eliminate child poverty by 2040. Universal basic income should be researched and studied. We therefore advocate for national basic income pilots.""",https://europeangreens.eu/building-a-europe-of-social-rights/
EUP0075,EGP,3,Completely disagree,-2,2024 EP election manifesto of the party,"""Europe needs a just tax system that takes the burden off workers and small businesses and makes polluters, multinationals, and the ultra-rich pay their fair share.""""The European Union requires greater budgetary resources to face our common challenges. "" ""The European Union requires greater budgetary resources to face our common challenges.""",https://europeangreens.eu/an-economy-that-works-for-all/
EUP0076,EGP,4,Completely agree,2,2024 EP election manifesto of the party,"""Europe needs a just tax system that takes the burden off workers and small businesses and makes polluters, multinationals, and the ultra-rich pay their fair share. We will establish a minimum level for capital gains tax in the EU to rebalance the tax burden away from employees. We will close the loopholes in the OECD corporate minimum tax agreement and push EU member states to implement the agreement at a higher level. Loopholes that leave room for tax avoidance and evasion inside and outside the EU as well as fraud and money laundering will be closed. We will fight against tax havens, be them in the EU or anywhere else in the world."" ""We call for an EU-wide wealth tax to fight inequality and finance the green transition. In addition, we will push for a European financial transactions tax to generate revenue while curbing speculation. We will make the EU windfall tax on energy companies permanent to prevent profiteering in future energy crises and apply it to commodity traders and banks too.""",https://europeangreens.eu/an-economy-that-works-for-all/
EUP0077,EGP,5,Tend to disagree,-1,2024 EP election manifesto of the party,"""Age must not be a barrier to a full and active life, but too often older people are held back by aged-based discrimination and exclusion. Older people are among the social groups most at risk of poverty as well as digital exclusion. As Greens, we will take a stand against ageism in European policies. Very old people make up the fastest growing demographic in Europe and we need to be resilient. We support measures that promote the inclusion of older people and their participation in policy matters, such joining the WHO’s Global Network of Age-friendly Cities and Communities. We demand fair pensions for all seniors in the EU. This also includes securing freedom of movement for people on guaranteed income pensions so they can access their pensions wherever they live in the EU. We want poverty-proof pensions for all seniors in the EU from the age of retirement. At the same time, we encourage approaches that allow periods of transition between learning, working, family care, periods of unemployment, free time and retirement across different stages of an individual’s life. We want strong care services that benefit the wellbeing of people with long-term care needs, as well as their families and communities. Intergenerational justice is not just a concept: exchange between generations should be anchored in our educational systems, and also more broadly in community activities.""",https://europeangreens.eu/a-union-of-rights-and-freedoms-for-a-truly-feminist-and-anti-racist-future/
EUP0078,EGP,6,Tend to agree,1,2024 EP election manifesto of the party,"""We support an Energy Guarantee to provide all households with a sufficient amount of energy at an affordable price."" ""We support the introduction of rent control in cities and regions where rents have exploded to become out of reach. As achieved by several Green cities across the EU, we advocate limits on short-term tourist rentals to keep rents down."" ""It is time to stop the speculation on food driving hunger globally. Our financial transactions and windfall tax proposals will curb the speculation driving up food prices for households.""",https://europeangreens.eu/securing-livelihoods-for-all/
EUP0079,EGP,7,Completely agree,2,2024 EP election manifesto of the party,"""A renewed LGBTQIA+ Equality Strategy should ensure that trans, intersex, and non-binary people are also protected under the EU legal framework, closing legislative gaps in the areas of non-discrimination and hate crime. We want to end intersex genital mutilation. We push for legal gender recognition based on self-determination and access to trans-specific healthcare. The European Union should act politically for an EU-wide ban on so-called “conversion therapy” and forced sterilization of transgender people. Rainbow families and their rights must be protected in all of the EU, including the full application of the freedom of movement with no loss of rights.""",https://europeangreens.eu/a-union-of-rights-and-freedoms-for-a-truly-feminist-and-anti-racist-future/
EUP0080,EGP,8,Completely agree,2,2024 EP election manifesto of the party,"""Drug policy must be based on evidence, not prejudice. We advocate for an EU approach based on harm reduction, health, and support for people who suffer from drug addiction and that minimizes the negative social impacts of drug use. We work towards decriminalizing cannabis for adult use with the goal of legalization and regulation whilst protecting minors.""",https://europeangreens.eu/securing-livelihoods-for-all/
EUP0081,EGP,9,Tend to disagree,-1,2024 EP election manifesto of the party,"""Protecting the rights of all is a key battle against the far right. All over Europe, the far right is instrumentalizing migration to spread fear and resentment. They wish to rollback the rights and freedoms of women and people from the LGBTQIA+ community as well as racialized people. We are fighting against this backlash, standing resolutely for democracy, freedom, and human rights."" ""Throughout history, people have always moved from place to place. Migration is as old as history, and we must return to this pragmatism. Migration can benefit all. It can help address labour shortages – today a key economic challenge. Migrants make an essential contribution to the European economy and enrich our culture, communities, and daily lives.""",https://europeangreens.eu/a-union-of-rights-and-freedoms-protecting-the-rights-of-all/
EUP0082,EGP,10,Completely disagree,-2,2024 EP election manifesto of the party,"""We fight to expand reproductive freedom. Sexual and reproductive health and rights, including the right to safe abortion, are fundamental rights. They belong in the EU treaties – as core principles and competences of the EU and in the directly applicable Charter of Fundamental Rights. Safe and legal abortion must be available in all EU member states. Abortion care is an essential health service. We stand up against the devastating regression on reproductive rights all over the world. No one should be criminalized for seeking or accessing abortion services. Women must have access to medical abortions. As Greens, we advocate the provision of free, high-quality contraceptives for all. Young people have the right to comprehensive sexuality education.""",https://europeangreens.eu/a-union-of-rights-and-freedoms-for-a-truly-feminist-and-anti-racist-future/
